"year","canton","sex","marital_status","population"
2020,"Switzerland","Male","Single",2075953
2020,"Switzerland","Male","Married, in a registered partnership",1826039
2020,"Switzerland","Male","Widowed, partnership dissolved through death",80680
2020,"Switzerland","Male","Divorced, unmarried, partnership dissolved legally",319535
2020,"Switzerland","Female","Single",1827380
2020,"Switzerland","Female","Married, in a registered partnership",1781877
2020,"Switzerland","Female","Widowed, partnership dissolved through death",323273
2020,"Switzerland","Female","Divorced, unmarried, partnership dissolved legally",434851
2020,"Zürich","Male","Single",389240
2020,"Zürich","Male","Married, in a registered partnership",316868
2020,"Zürich","Male","Widowed, partnership dissolved through death",12873
2020,"Zürich","Male","Divorced, unmarried, partnership dissolved legally",55237
2020,"Zürich","Female","Single",342836
2020,"Zürich","Female","Married, in a registered partnership",307127
2020,"Zürich","Female","Widowed, partnership dissolved through death",49510
2020,"Zürich","Female","Divorced, unmarried, partnership dissolved legally",79599
2020,"Bern / Berne","Male","Single",242380
2020,"Bern / Berne","Male","Married, in a registered partnership",219638
2020,"Bern / Berne","Male","Widowed, partnership dissolved through death",11132
2020,"Bern / Berne","Male","Divorced, unmarried, partnership dissolved legally",39042
2020,"Bern / Berne","Female","Single",217144
2020,"Bern / Berne","Female","Married, in a registered partnership",216456
2020,"Bern / Berne","Female","Widowed, partnership dissolved through death",43809
2020,"Bern / Berne","Female","Divorced, unmarried, partnership dissolved legally",53328
2020,"Luzern","Male","Single",102005
2020,"Luzern","Male","Married, in a registered partnership",89089
2020,"Luzern","Male","Widowed, partnership dissolved through death",3704
2020,"Luzern","Male","Divorced, unmarried, partnership dissolved legally",12772
2020,"Luzern","Female","Single",89090
2020,"Luzern","Female","Married, in a registered partnership",87440
2020,"Luzern","Female","Widowed, partnership dissolved through death",15042
2020,"Luzern","Female","Divorced, unmarried, partnership dissolved legally",17187
2020,"Uri","Male","Single",8803
2020,"Uri","Male","Married, in a registered partnership",8621
2020,"Uri","Male","Widowed, partnership dissolved through death",392
2020,"Uri","Male","Divorced, unmarried, partnership dissolved legally",952
2020,"Uri","Female","Single",7018
2020,"Uri","Female","Married, in a registered partnership",8376
2020,"Uri","Female","Widowed, partnership dissolved through death",1573
2020,"Uri","Female","Divorced, unmarried, partnership dissolved legally",1084
2020,"Schwyz","Male","Single",38830
2020,"Schwyz","Male","Married, in a registered partnership",36418
2020,"Schwyz","Male","Widowed, partnership dissolved through death",1489
2020,"Schwyz","Male","Divorced, unmarried, partnership dissolved legally",6368
2020,"Schwyz","Female","Single",31626
2020,"Schwyz","Female","Married, in a registered partnership",34846
2020,"Schwyz","Female","Widowed, partnership dissolved through death",5659
2020,"Schwyz","Female","Divorced, unmarried, partnership dissolved legally",6913
2020,"Obwalden","Male","Single",9059
2020,"Obwalden","Male","Married, in a registered partnership",8619
2020,"Obwalden","Male","Widowed, partnership dissolved through death",357
2020,"Obwalden","Male","Divorced, unmarried, partnership dissolved legally",1231
2020,"Obwalden","Female","Single",7649
2020,"Obwalden","Female","Married, in a registered partnership",8375
2020,"Obwalden","Female","Widowed, partnership dissolved through death",1451
2020,"Obwalden","Female","Divorced, unmarried, partnership dissolved legally",1364
2020,"Nidwalden","Male","Single",10424
2020,"Nidwalden","Male","Married, in a registered partnership",9694
2020,"Nidwalden","Male","Widowed, partnership dissolved through death",433
2020,"Nidwalden","Male","Divorced, unmarried, partnership dissolved legally",1742
2020,"Nidwalden","Female","Single",8321
2020,"Nidwalden","Female","Married, in a registered partnership",9401
2020,"Nidwalden","Female","Widowed, partnership dissolved through death",1615
2020,"Nidwalden","Female","Divorced, unmarried, partnership dissolved legally",1884
2020,"Glarus","Male","Single",9473
2020,"Glarus","Male","Married, in a registered partnership",9137
2020,"Glarus","Male","Widowed, partnership dissolved through death",430
2020,"Glarus","Male","Divorced, unmarried, partnership dissolved legally",1584
2020,"Glarus","Female","Single",7709
2020,"Glarus","Female","Married, in a registered partnership",8797
2020,"Glarus","Female","Widowed, partnership dissolved through death",1855
2020,"Glarus","Female","Divorced, unmarried, partnership dissolved legally",1864
2020,"Zug","Male","Single",30268
2020,"Zug","Male","Married, in a registered partnership",29257
2020,"Zug","Male","Widowed, partnership dissolved through death",1074
2020,"Zug","Male","Divorced, unmarried, partnership dissolved legally",4624
2020,"Zug","Female","Single",26227
2020,"Zug","Female","Married, in a registered partnership",27900
2020,"Zug","Female","Widowed, partnership dissolved through death",3930
2020,"Zug","Female","Divorced, unmarried, partnership dissolved legally",5509
2020,"Fribourg / Freiburg","Male","Single",80593
2020,"Fribourg / Freiburg","Male","Married, in a registered partnership",67579
2020,"Fribourg / Freiburg","Male","Widowed, partnership dissolved through death",2689
2020,"Fribourg / Freiburg","Male","Divorced, unmarried, partnership dissolved legally",12138
2020,"Fribourg / Freiburg","Female","Single",70576
2020,"Fribourg / Freiburg","Female","Married, in a registered partnership",65950
2020,"Fribourg / Freiburg","Female","Widowed, partnership dissolved through death",10873
2020,"Fribourg / Freiburg","Female","Divorced, unmarried, partnership dissolved legally",15124
2020,"Solothurn","Male","Single",63384
2020,"Solothurn","Male","Married, in a registered partnership",61145
2020,"Solothurn","Male","Widowed, partnership dissolved through death",3004
2020,"Solothurn","Male","Divorced, unmarried, partnership dissolved legally",11076
2020,"Solothurn","Female","Single",53832
2020,"Solothurn","Female","Married, in a registered partnership",59817
2020,"Solothurn","Female","Widowed, partnership dissolved through death",11089
2020,"Solothurn","Female","Divorced, unmarried, partnership dissolved legally",14080
2020,"Basel-Stadt","Male","Single",49650
2020,"Basel-Stadt","Male","Married, in a registered partnership",36352
2020,"Basel-Stadt","Male","Widowed, partnership dissolved through death",1956
2020,"Basel-Stadt","Male","Divorced, unmarried, partnership dissolved legally",7651
2020,"Basel-Stadt","Female","Single",46430
2020,"Basel-Stadt","Female","Married, in a registered partnership",35105
2020,"Basel-Stadt","Female","Widowed, partnership dissolved through death",8030
2020,"Basel-Stadt","Female","Divorced, unmarried, partnership dissolved legally",11541
2020,"Basel-Landschaft","Male","Single",62996
2020,"Basel-Landschaft","Male","Married, in a registered partnership",66101
2020,"Basel-Landschaft","Male","Widowed, partnership dissolved through death",3381
2020,"Basel-Landschaft","Male","Divorced, unmarried, partnership dissolved legally",10285
2020,"Basel-Landschaft","Female","Single",55585
2020,"Basel-Landschaft","Female","Married, in a registered partnership",65308
2020,"Basel-Landschaft","Female","Widowed, partnership dissolved through death",12442
2020,"Basel-Landschaft","Female","Divorced, unmarried, partnership dissolved legally",14862
2020,"Schaffhausen","Male","Single",18528
2020,"Schaffhausen","Male","Married, in a registered partnership",18599
2020,"Schaffhausen","Male","Widowed, partnership dissolved through death",889
2020,"Schaffhausen","Male","Divorced, unmarried, partnership dissolved legally",3144
2020,"Schaffhausen","Female","Single",15691
2020,"Schaffhausen","Female","Married, in a registered partnership",18242
2020,"Schaffhausen","Female","Widowed, partnership dissolved through death",3653
2020,"Schaffhausen","Female","Divorced, unmarried, partnership dissolved legally",4355
2020,"Appenzell Ausserrhoden","Male","Single",12878
2020,"Appenzell Ausserrhoden","Male","Married, in a registered partnership",12157
2020,"Appenzell Ausserrhoden","Male","Widowed, partnership dissolved through death",563
2020,"Appenzell Ausserrhoden","Male","Divorced, unmarried, partnership dissolved legally",2284
2020,"Appenzell Ausserrhoden","Female","Single",10682
2020,"Appenzell Ausserrhoden","Female","Married, in a registered partnership",11932
2020,"Appenzell Ausserrhoden","Female","Widowed, partnership dissolved through death",2204
2020,"Appenzell Ausserrhoden","Female","Divorced, unmarried, partnership dissolved legally",2607
2020,"Appenzell Innerrhoden","Male","Single",4135
2020,"Appenzell Innerrhoden","Male","Married, in a registered partnership",3571
2020,"Appenzell Innerrhoden","Male","Widowed, partnership dissolved through death",168
2020,"Appenzell Innerrhoden","Male","Divorced, unmarried, partnership dissolved legally",487
